dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
  54 1 0.028946600 0.041230300 0.013302400 0.143514000 0.068772100 0.051897100 0.518316000 0.778790000 0.317883000
  55 1 0.103983000 0.026228900 0.019713800 0.134219000 0.074353500 0.019349300 1.102440000 0.568047000 0.255563000
  56 1 0.019778500 0.021295400 0.014355500 0.046866400 0.012843800 0.005717720 1.313870000 0.197909000 0.180030000
  57 1 0.050858000 0.012902500 0.005827440 0.008371310 0.014930300 0.037183300 1.013060000 0.052597100 0.060627600
  58 1 0.070699200 0.005151110 0.014004600 0.025208000 0.009702490 0.008309900 0.602119000 0.894823000 0.465648000
  59 1 0.020957700 0.010313300 0.000302210 0.012920300 0.038436300 0.018235700 0.684512000 0.929720000 0.410576000
  60 1 0.051364800 0.033137500 0.011447000 0.214562000 0.055400800 0.032520600 1.787420000 0.189024000 0.006402090
  61 1 0.021473900 0.009569610 0.013636700 0.095105000 0.051501900 0.031831400 0.207137000 0.343974000 0.271051000
  62 1 0.040362000 0.006449810 0.005506330 0.070181300 0.060836600 0.007723010 1.456570000 0.545265000 0.269504000
  63 1 0.013197000 0.028919800 0.009573790 0.000549124 0.037914900 0.018262500 1.664660000 0.576324000 0.240013000
  64 1 0.026022400 0.008967980 0.008175370 0.057065500 0.059335500 0.020530600 1.688560000 0.028061000 0.079547700
  65 1 0.053264500 0.007730520 0.006913130 0.073153100 0.060617200 0.010926200 0.033661700 0.166960000 0.007038040
  66 1 0.049932400 0.027285300 0.015660100 0.001239680 0.007186870 0.015914000 0.971013000 0.271514000 0.107722000
  67 1 0.034576100 0.000464005 0.007271000 0.045066800 0.025572600 0.023549300 1.646320000 0.033555600 0.070745400
  68 1 0.038584300 0.025720600 0.013246600 0.099149100 0.048106400 0.022262200 0.509394000 0.098286600 0.003588870
  69 1 0.038782300 0.001736640 0.004905830 0.078170400 0.038402000 0.021690400 0.572472000 0.269772000 0.244410000
  70 1 0.015756400 0.019385400 0.005483140 0.059509300 0.045663300 0.038865600 0.669191000 0.026432700 0.032275100
  71 1 0.037791300 0.027568100 0.014173500 0.249319000 0.103880000 0.039796500 1.059910000 0.060922700 0.001227480
  72 1 0.012714800 0.027732000 0.001386290 0.035460200 0.013891600 0.033207900 0.607762000 0.016860800 0.031405700
  73 1 0.106776000 0.005161160 0.016485000 0.048798000 0.013482200 0.001518880 1.968950000 0.025625200 0.008080440
  74 1 0.006584220 0.017038700 0.008679370 0.014684200 0.000863996 0.029286500 0.511178000 0.612219000 0.257832000
  75 1 0.018884800 0.003203850 0.008163830 0.229151000 0.063809000 0.030490800 1.487130000 0.073074900 0.039100900
  76 1 0.073647900 0.011793800 0.008046560 0.060424400 0.005002030 0.019963600 0.722261000 0.011637300 0.017979900
  77 1 0.079520900 0.036896900 0.020687600 0.030255600 0.016142900 0.021952800 0.545251000 0.249717000 0.096345500
  78 1 0.065878100 0.019797700 0.009534840 0.039455800 0.010837200 0.004398160 1.750680000 0.070936000 0.037165200
  79 1 0.012646100 0.032439200 0.005395480 0.028081600 0.045116600 0.003952560 1.015100000 0.064218900 0.025949000
  80 1 0.064099800 0.014070700 0.016511500 0.001644120 0.032123800 0.001755560 0.164284000 0.307331000 0.238927000
  81 1 0.082551100 0.018164300 0.003125380 0.022512600 0.014721200 0.007440580 0.479772000 0.217732000 0.085766100
  82 1 0.002653490 0.022320800 0.002580320 0.123498000 0.043045900 0.021543500 0.265052000 0.745635000 0.287594000
  83 1 0.022054800 0.013240900 0.005500130 0.085885300 0.019887300 0.010579400 0.834026000 0.572036000 0.355003000
  84 1 0.047079100 0.002795760 0.005701480 0.011053200 0.020648900 0.006572690 0.050055200 0.053342200 0.119732000
  85 1 0.032536900 0.016060600 0.006016710 0.050690200 0.000907184 0.016037000 0.396272000 0.671571000 0.341757000
  86 1 0.003965400 0.015788200 0.006928390 0.038444900 0.011844600 0.026391800 2.550200000 0.732780000 0.331435000
  87 1 0.051747300 0.024192500 0.016801500 0.092331900 0.028988700 0.022888300 1.370850000 0.115480000 0.102371000
  88 1 0.068870900 0.004056620 0.018807200 0.015523700 0.002043060 0.004795800 0.363054000 0.298731000 0.159849000
  89 1 0.021687700 0.002438270 0.005765130 0.104243000 0.000143860 0.022147200 0.329501000 0.188217000 0.065077900
  90 1 0.013608600 0.018701700 0.000034302 0.120844000 0.065488600 0.024896100 0.345802000 0.035995700 0.060267500
  91 1 0.002631410 0.008261900 0.002134240 0.100737000 0.031015800 0.031030500 0.360639000 0.097945900 0.058318100
  92 1 0.050727300 0.033837100 0.019188600 0.143807000 0.108276000 0.072839300 0.165107000 0.217637000 0.116380000
  93 1 0.003347800 0.015519400 0.004271280 0.054591400 0.003845910 0.028550500 0.113104000 0.141944000 0.083310000
  94 1 0.046056700 0.017822800 0.006282250 0.125493000 0.058217600 0.057063400 0.128023000 0.142319000 0.051853400
  95 1 0.032341600 0.002101590 0.004400970 0.044875400 0.034147100 0.023614000 1.171860000 0.137816000 0.033017900
  96 1 0.019584800 0.022560900 0.015244400 0.008730040 0.020226100 0.015540500 1.672620000 0.083089300 0.038096900
  97 1 0.000266924 0.000941591 0.002635680 0.255485000 0.144261000 0.074573300 0.442547000 0.000672299 0.007851530
  98 1 0.032488600 0.000364374 0.006265580 0.045770600 0.027670400 0.014468500 0.501416000 0.176547000 0.093902700
  99 1 0.044244300 0.015684400 0.003235150 0.005029030 0.024937900 0.007654030 0.598470000 0.149794000 0.052587500
 100 1 0.049531900 0.017192800 0.005926550 0.137179000 0.061176800 0.032482600 1.164260000 0.041267500 0.027194800
 101 1 0.032636400 0.017828100 0.007596610 0.067434500 0.022174800 0.020391600 1.054690000 0.143899000 0.029962800
 102 1 0.041592600 0.014462800 0.006328210 0.012645700 0.012476700 0.035587200 0.326968000 0.167556000 0.049864000
 103 1 0.025346800 0.010502600 0.005156670 0.047712600 0.014164700 0.005729180 0.473614000 0.034851100 0.086231000
 104 1 0.036787800 0.000242308 0.006967580 0.038960900 0.025954500 0.006215820 0.305467000 0.364390000 0.116551000
 105 1 0.017641100 0.019158600 0.011970200 0.056466200 0.025801300 0.006704400 0.269169000 0.093586300 0.081994700
 106 1 0.001839810 0.003742920 0.003035510 0.004427010 0.005179090 0.013218500 2.361420000 0.225605000 0.060808900
 107 1 0.006273440 0.024388700 0.003028200 0.136342000 0.073618200 0.003888480 0.451238000 0.180545000 0.034321700
 108 1 0.037213700 0.017090200 0.005182420 0.070837000 0.006875040 0.001121650 1.640900000 0.011501600 0.019303900
 109 1 0.001598920 0.012660500 0.000306551 0.125617000 0.086624000 0.048448400 0.914837000 0.224294000 0.049984300
 110 1 0.018852000 0.003067350 0.008948530 0.039876500 0.017524800 0.003857790 0.871018000 0.079779600 0.014555200
 111 1 0.015077300 0.013775900 0.006598960 0.002355200 0.010779500 0.006317390 0.387821000 0.058019900 0.135348000
 112 1 0.005872900 0.005197220 0.008527990 0.054819000 0.050463500 0.039325800 0.808871000 0.045852900 0.107315000
 113 1 0.001852210 0.000737725 0.002149080 0.061321700 0.039652400 0.000806636 0.223443000 0.083718800 0.029932800
 114 1 0.004605390 0.011910400 0.006984990 0.038430200 0.015010500 0.017881100 0.659366000 0.036399400 0.035956500
 115 1 0.020166500 0.016655800 0.004289370 0.043639300 0.035272000 0.005053540 2.442600000 0.080388500 0.033389900
 116 1 0.025976200 0.041998100 0.011921500 0.015837800 0.023027000 0.013833100 0.991763000 0.027106900 0.000312845
 117 1 0.013000000 0.017692800 0.001018310 0.071970400 0.011939300 0.016014100 2.088870000 0.143036000 0.034390700
 118 1 0.019101300 0.028141800 0.013235400 0.079800800 0.039996800 0.025586200 0.612884000 0.357223000 0.081726800
 119 1 0.023705100 0.025054400 0.008773970 0.073663300 0.080277400 0.010151000 0.298435000 0.021914300 0.025845200
 120 1 0.021188000 0.012552000 0.009488600 0.236597000 0.120311000 0.057743300 1.863500000 0.443299000 0.142321000
 121 1 0.043573500 0.000903999 0.002585230 0.030631800 0.008489550 0.016331100 1.064220000 0.183105000 0.112683000
 122 1 0.013505400 0.006760040 0.003717210 0.186722000 0.072416300 0.040721000 2.172510000 0.105665000 0.017445500
 123 1 0.050731200 0.002501920 0.007110930 0.023175000 0.030528300 0.001374160 2.047320000 0.048053600 0.058058100
 124 1 0.054349500 0.000470362 0.004841790 0.087947500 0.027443900 0.018752100 0.279591000 0.126767000 0.024964300
 125 1 0.000259756 0.003474330 0.001127810 0.178031000 0.081401900 0.038242100 1.249640000 0.015401000 0.053823000
 126 1 0.012717100 0.019759800 0.003972230 0.096202700 0.035378100 0.042212600 0.542030000 0.156681000 0.101205000
 127 1 0.002784150 0.001394080 0.002195310 0.073080300 0.008442680 0.001450110 1.895460000 0.487691000 0.106596000
 128 1 0.036553300 0.010864700 0.003164600 0.001925670 0.016217600 0.000468458 2.362070000 0.229508000 0.090267700
