dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
  54 1 0.053948800 0.011066400 0.007547220 0.124913000 0.084108500 0.035128100 0.900345000 0.872018000 0.644667000
  55 1 0.101690000 0.009430580 0.009531380 0.233845000 0.069909900 0.038686600 0.849291000 0.721359000 0.475714000
  56 1 0.073444700 0.000088724 0.007569450 0.100700000 0.028875000 0.022428000 0.009324280 0.026251100 0.000795984
  57 1 0.023159900 0.009679730 0.006000000 0.027006400 0.020813900 0.029922000 0.122323000 0.097054600 0.031686700
  58 1 0.035846700 0.024442800 0.009391870 0.095234800 0.046335300 0.046353300 0.067368500 0.043768100 0.054132700
  59 1 0.090259600 0.003604040 0.008420580 0.020087100 0.023810500 0.032329900 0.543652000 0.494196000 0.321330000
  60 1 0.042034100 0.033945700 0.013651300 0.174420000 0.063583800 0.001028160 0.160240000 0.124420000 0.000013744
  61 1 0.040483600 0.031735700 0.014488100 0.065461300 0.100792000 0.013311200 0.040285800 0.025453800 0.053025600
  62 1 0.035639600 0.018975200 0.008789490 0.244601000 0.058543100 0.023403300 0.066553700 0.042422500 0.052368100
  63 1 0.023774500 0.020788300 0.006911310 0.149236000 0.066637000 0.021375300 0.109802000 0.076592000 0.016065800
  64 1 0.034095500 0.040444600 0.007093460 0.164168000 0.117714000 0.035224000 0.410181000 0.364698000 0.191134000
  65 1 0.036551400 0.003201510 0.005375270 0.024532100 0.030592900 0.002193010 0.541917000 0.469854000 0.178320000
  66 1 0.044662300 0.011212700 0.009746810 0.070230600 0.042180700 0.021870700 0.240682000 0.192111000 0.093049300
  67 1 0.076855000 0.006011500 0.006707610 0.169395000 0.021556200 0.009058840 0.358325000 0.267587000 0.113338000
  68 1 0.100808000 0.005362730 0.006239640 0.075618200 0.038369200 0.031543400 0.047844200 0.004670760 0.020949200
  69 1 0.036144900 0.005875830 0.001870310 0.210508000 0.075692500 0.035193900 0.646143000 0.640952000 0.468805000
  70 1 0.022787700 0.024197000 0.009052960 0.004150260 0.023070300 0.005961040 0.112671000 0.134364000 0.020427900
  71 1 0.090553900 0.002367900 0.006090330 0.022795400 0.023808300 0.019166600 0.129975000 0.097435400 0.056286200
  72 1 0.033866400 0.019520900 0.014863400 0.095795400 0.030265300 0.015097500 0.477897000 0.371659000 0.276557000
  73 1 0.020047700 0.011686000 0.005320400 0.079096300 0.006406790 0.001128940 0.131865000 0.132786000 0.031317300
  74 1 0.063660400 0.004891820 0.005823980 0.241518000 0.087606000 0.053655600 0.075210100 0.100200000 0.048706700
  75 1 0.102386000 0.004831590 0.004546560 0.056658900 0.045237900 0.013968200 0.596671000 0.437013000 0.217216000
  76 1 0.023812500 0.021379700 0.004446810 0.019231200 0.029280100 0.002097750 0.082275700 0.101098000 0.038666900
  77 1 0.019728300 0.004725140 0.002012530 0.088175100 0.037295100 0.029695000 0.049626100 0.035143400 0.008775040
  78 1 0.024468100 0.020466900 0.007730250 0.014587200 0.021384900 0.015611100 0.048996600 0.026763100 0.000829312
  79 1 0.037087200 0.021846600 0.011488300 0.135334000 0.048279800 0.049995700 0.248282000 0.226742000 0.128248000
  80 1 0.025293800 0.024512400 0.003895730 0.196288000 0.100777000 0.066254100 0.004144040 0.001315440 0.014598200
  81 1 0.036019100 0.004697760 0.011539500 0.061932700 0.023601800 0.007621410 0.261652000 0.198881000 0.060417400
  82 1 0.033036100 0.018755200 0.011737000 0.056819400 0.020855800 0.012540100 0.863989000 0.788054000 0.493433000
  83 1 0.019187400 0.010286000 0.003872610 0.000142933 0.047225200 0.019882200 0.241351000 0.249725000 0.142298000
  84 1 0.022575900 0.021197000 0.003311610 0.036547200 0.012025000 0.038942500 0.199917000 0.148891000 0.092202900
  85 1 0.031820000 0.010564300 0.007685100 0.330268000 0.230725000 0.053935600 0.101604000 0.009119330 0.017330600
  86 1 0.019671200 0.019449400 0.003471230 0.037220700 0.031359200 0.000629727 0.039418900 0.042175300 0.071882700
  87 1 0.029502000 0.003634140 0.010083800 0.097607300 0.028011900 0.007992090 0.214227000 0.196568000 0.153969000
  88 1 0.018679400 0.016782300 0.005549580 0.053991000 0.025087200 0.025406700 0.038584200 0.058730700 0.001650970
  89 1 0.076668900 0.000843783 0.003043340 0.058109400 0.035153900 0.027156100 0.555033000 0.513732000 0.257918000
