dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
  20 1 0.634918000 0.471685000 0.260277000 0.943005000 0.804115000 0.485329000 1.055500000 1.037690000 0.985429000
  21 1 0.629700000 0.464995000 0.258771000 0.459785000 0.385635000 0.487590000 0.772760000 0.722802000 0.355967000
  22 1 0.620989000 0.453888000 0.380832000 0.514500000 0.431663000 0.159258000 0.723885000 0.671294000 0.539177000
  23 1 0.602206000 0.430215000 0.250117000 0.572414000 0.484412000 0.451261000 0.783604000 0.725226000 0.211746000
  24 1 0.583164000 0.406608000 0.213868000 0.958343000 0.820444000 0.563903000 0.832027000 0.798067000 0.652145000
  25 1 0.580444000 0.403268000 0.245135000 0.986081000 0.840986000 0.514531000 0.984582000 0.962534000 0.872459000
  26 1 0.573442000 0.394711000 0.266226000 0.779088000 0.657307000 0.683488000 0.703636000 0.641411000 0.341511000
  27 1 0.572145000 0.393132000 0.220271000 0.689555000 0.553252000 0.360743000 0.806520000 0.767815000 0.660172000
  28 1 0.553103000 0.370172000 0.195498000 0.787277000 0.681386000 0.691967000 0.831457000 0.789799000 0.607219000
  29 1 0.532542000 0.345862000 0.257871000 0.674558000 0.585414000 0.378285000 0.744627000 0.683899000 0.328763000
  30 1 0.511403000 0.321405000 0.165141000 0.694904000 0.549927000 0.511514000 0.502045000 0.438173000 0.221523000
  31 1 0.506164000 0.315431000 0.156066000 0.507885000 0.455657000 0.329955000 0.872771000 0.841983000 0.609443000
  32 1 0.503051000 0.311897000 0.263275000 0.490156000 0.389685000 0.238754000 0.956302000 0.929942000 0.678744000
  33 1 0.496873000 0.304921000 0.131167000 0.754998000 0.684591000 0.388844000 0.910914000 0.878297000 0.655745000
  34 1 0.488098000 0.295099000 0.163943000 0.681772000 0.528931000 0.342190000 0.976414000 0.964626000 0.724867000
  35 1 0.485595000 0.292317000 0.142053000 0.374738000 0.263755000 0.261069000 0.977743000 0.936086000 0.687226000
  36 1 0.471596000 0.276904000 0.135200000 0.830683000 0.674068000 0.418063000 0.473589000 0.391231000 0.092188100
  37 1 0.464151000 0.268816000 0.148683000 0.838935000 0.697499000 0.373977000 0.824799000 0.779887000 0.636646000
  38 1 0.446614000 0.250069000 0.118990000 0.687945000 0.564503000 0.397651000 0.758775000 0.715336000 0.489729000
  39 1 0.433762000 0.236609000 0.140827000 0.885807000 0.701769000 0.487150000 0.748588000 0.691960000 0.498896000
  40 1 0.432575000 0.235378000 0.115630000 0.538113000 0.435997000 0.242538000 0.635429000 0.567593000 0.327810000
  41 1 0.432097000 0.234882000 0.095871200 0.577576000 0.427413000 0.172072000 0.693169000 0.612385000 0.353389000
  42 1 0.414282000 0.216672000 0.084720400 0.313150000 0.262920000 0.295103000 0.941504000 0.885497000 0.717971000
  43 1 0.395098000 0.197605000 0.101488000 0.383516000 0.274645000 0.160737000 0.860178000 0.804370000 0.721190000
  44 1 0.393534000 0.196076000 0.078988100 0.187719000 0.126586000 0.067185200 0.765780000 0.703902000 0.409478000
  45 1 0.390340000 0.192966000 0.181900000 0.651558000 0.517541000 0.367143000 0.534076000 0.456130000 0.264619000
  46 1 0.381923000 0.184849000 0.093732700 0.654340000 0.541093000 0.315237000 0.486799000 0.411620000 0.260842000
  47 1 0.379550000 0.182582000 0.083335900 0.883939000 0.639794000 0.404367000 0.564881000 0.494553000 0.223090000
  48 1 0.378992000 0.182050000 0.164212000 0.303268000 0.194032000 0.183951000 0.547924000 0.477798000 0.343341000
  49 1 0.361083000 0.165258000 0.065274600 0.711563000 0.563603000 0.219305000 0.455632000 0.374526000 0.029398400
  50 1 0.360806000 0.165003000 0.151237000 0.638931000 0.481185000 0.379907000 0.701875000 0.614348000 0.302993000
  51 1 0.353656000 0.158456000 0.105015000 0.827525000 0.609210000 0.450774000 0.543769000 0.471436000 0.244712000
  52 1 0.338004000 0.144440000 0.049744000 0.682491000 0.538297000 0.374716000 0.585583000 0.492970000 0.240915000
  53 1 0.336798000 0.143378000 0.070495800 0.807449000 0.538098000 0.316269000 0.567350000 0.497083000 0.303643000
  54 1 0.325325000 0.133414000 0.055402600 0.578153000 0.435792000 0.281766000 0.855140000 0.809664000 0.672416000
  55 1 0.321386000 0.130050000 0.043757000 0.467369000 0.348553000 0.159601000 1.020780000 0.963864000 0.692425000
