dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
  54 1 0.004829200 0.002748380 0.001417680 0.084190100 0.027782500 0.005296050 0.099270200 0.117142000 0.078194600
  55 1 0.000184485 0.006996900 0.000094967 0.270344000 0.159873000 0.071920600 0.488322000 0.058391800 0.012740100
  56 1 0.004621610 0.021104600 0.004799560 0.124405000 0.073934600 0.015077000 0.157831000 0.170535000 0.005522340
  57 1 0.050050300 0.028634300 0.022159400 0.130687000 0.006659640 0.007489750 0.089880800 0.089853600 0.021458300
  58 1 0.025633000 0.015376400 0.011265900 0.029150700 0.009398470 0.025931400 0.090743400 0.065663500 0.058557200
  59 1 0.029827300 0.014734700 0.003347960 0.054550400 0.017295500 0.014567100 0.012120200 0.004519000 0.055977600
  60 1 0.019842100 0.003349790 0.007456630 0.056082000 0.028037800 0.012031900 0.049390400 0.007234830 0.004088230
  61 1 0.014512900 0.011879800 0.003608590 0.001381230 0.008653160 0.019996000 0.104783000 0.148803000 0.038524700
  62 1 0.014846900 0.000890242 0.003371160 0.141001000 0.065914000 0.021458600 0.113217000 0.125839000 0.153458000
  63 1 0.013088100 0.019330600 0.000595443 0.070843700 0.018653900 0.007095150 0.076759400 0.210995000 0.086044000
  64 1 0.002518920 0.012751500 0.004309930 0.026539400 0.016385100 0.007244040 0.271724000 0.291014000 0.058259600
  65 1 0.021281200 0.024162000 0.001397860 0.069785600 0.050902800 0.013169600 0.097616200 0.122673000 0.033707900
  66 1 0.010044300 0.016027400 0.003591690 0.005088970 0.050972100 0.027672200 0.015684200 0.027176900 0.036332900
  67 1 0.003341420 0.009015960 0.001113000 0.000869585 0.016716200 0.005326690 0.074501800 0.082329700 0.012522100
  68 1 0.000168305 0.000162805 0.000631366 0.210149000 0.104223000 0.036587400 0.303969000 0.358296000 0.080017500
  69 1 0.012339400 0.003155710 0.002180940 0.081818000 0.031536000 0.018413900 0.142048000 0.063728400 0.037999100
  70 1 0.002527660 0.009059750 0.003001030 0.050420500 0.023366500 0.007773460 0.335915000 0.303095000 0.040796400
  71 1 0.006455780 0.016349900 0.005909490 0.001696030 0.026457100 0.037092900 0.266182000 0.319527000 0.068051700
  72 1 0.016692300 0.009345230 0.003733210 0.054889600 0.022980100 0.021698100 0.121742000 0.174031000 0.070052600
  73 1 0.011404100 0.004519600 0.003495460 0.034748400 0.026543100 0.006283790 0.066037900 0.133064000 0.002524040
  74 1 0.019050200 0.002231120 0.004127110 0.023053700 0.005396310 0.002579420 0.545917000 0.541556000 0.334911000
  75 1 0.030334400 0.011958100 0.011020800 0.014576900 0.023636700 0.008597910 0.072646400 0.073925400 0.046522000
